Latency,Event
3,Frequent
4,Frequent
5,Frequent
6,Frequent
7,Frequent
8,Frequent
9,Frequent
10,Frequent
11,Frequent
12,4-Infrequent
13,Frequent
14,Frequent
15,Frequent
16,Frequent
17,Frequent
18,3-Infrequent
19,Frequent
20,Frequent
21,Frequent
22,Frequent
23,Frequent
24,Frequent
25,Frequent
26,Frequent
27,1-Infrequent
28,Frequent
29,Frequent
30,Frequent
31,4-Infrequent
32,Frequent
33,Frequent
34,Frequent
35,Frequent
36,1-Infrequent
37,Frequent
38,Frequent
39,Frequent
40,Frequent
41,Frequent
42,2-Infrequent
43,Frequent
44,Frequent
45,Frequent
46,1-Infrequent
47,Frequent
48,Frequent
49,Frequent
50,Frequent
51,Frequent
52,Frequent
53,1-Infrequent
54,Frequent
55,Frequent
56,1-Infrequent
57,Frequent
58,Frequent
59,Frequent
60,Frequent
61,Frequent
62,Frequent
63,4-Infrequent
64,Frequent
65,Frequent
66,2-Infrequent
67,Frequent
68,Frequent
69,Frequent
70,3-Infrequent
71,Frequent
72,Frequent
73,Frequent
74,Frequent
75,Frequent
76,1-Infrequent
77,Frequent
78,2-Infrequent
79,Frequent
80,Frequent
81,3-Infrequent
82,Frequent
83,Frequent
84,Frequent
85,Frequent
86,Frequent
87,4-Infrequent
88,Frequent
89,Frequent
90,Frequent
91,Frequent
92,Frequent
93,Frequent
94,Frequent
95,Frequent
96,Frequent
97,Frequent
98,1-Infrequent
99,Frequent
100,Frequent
101,Frequent
102,3-Infrequent
103,Frequent
104,Frequent
105,2-Infrequent
106,Frequent
107,Frequent
108,Frequent
109,Frequent
110,Frequent
111,Frequent
112,4-Infrequent
113,Frequent
114,Frequent
115,Frequent
116,4-Infrequent
117,Frequent
118,Frequent
119,Frequent
120,1-Infrequent
121,Frequent
122,Frequent
123,Frequent
124,Frequent
125,Frequent
126,4-Infrequent
127,Frequent
128,Frequent
129,3-Infrequent
130,Frequent
131,Frequent
132,Frequent
133,2-Infrequent
134,Frequent
135,Frequent
136,Frequent
137,Frequent
138,Frequent
139,3-Infrequent
140,Frequent
141,Frequent
142,4-Infrequent
143,Frequent
144,Frequent
145,Frequent
146,3-Infrequent
147,Frequent
148,Frequent
149,Frequent
150,Frequent
151,2-Infrequent
152,Frequent
153,3-Infrequent
154,Frequent
155,Frequent
156,Frequent
157,Frequent
158,2-Infrequent
159,Frequent
160,Frequent
161,3-Infrequent
162,Frequent
163,4-Infrequent
164,Frequent
165,Frequent
166,Frequent
167,2-Infrequent
168,Frequent
169,Frequent
170,Frequent
171,Frequent
172,Frequent
173,1-Infrequent
174,Frequent
175,Frequent
176,Frequent
177,Frequent
178,Frequent
179,Frequent
180,Frequent
181,2-Infrequent
182,Frequent
183,Frequent
184,4-Infrequent
185,Frequent
186,Frequent
187,Frequent
188,Frequent
189,3-Infrequent
190,Frequent
191,Frequent
192,Frequent
193,Frequent
194,Frequent
195,2-Infrequent
196,Frequent
197,Frequent
198,Frequent
199,Frequent
200,Frequent
201,1-Infrequent
202,Frequent
