Latency,Event
1,Frequent
2,Frequent
3,Frequent
4,Frequent
5,Frequent
6,Frequent
7,Frequent
8,Frequent
9,Frequent
10,Frequent
11,Frequent
12,Frequent
13,Frequent
14,2-Infrequent
15,Frequent
16,Frequent
17,Frequent
18,Frequent
19,Frequent
20,3-Infrequent
21,Frequent
22,Frequent
23,Frequent
24,Frequent
25,4-Infrequent
26,Frequent
27,Frequent
28,Frequent
29,Frequent
30,Frequent
31,Frequent
32,2-Infrequent
33,Frequent
34,Frequent
35,4-Infrequent
36,Frequent
37,Frequent
38,Frequent
39,3-Infrequent
40,Frequent
41,Frequent
42,Frequent
43,2-Infrequent
44,Frequent
45,Frequent
46,3-Infrequent
47,Frequent
48,Frequent
49,Frequent
50,Frequent
51,Frequent
52,Frequent
53,4-Infrequent
54,Frequent
55,Frequent
56,1-Infrequent
57,Frequent
58,Frequent
59,Frequent
60,1-Infrequent
61,Frequent
62,Frequent
63,Frequent
64,Frequent
65,Frequent
66,Frequent
67,1-Infrequent
68,Frequent
69,Frequent
70,Frequent
71,Frequent
72,4-Infrequent
73,Frequent
74,Frequent
75,Frequent
76,3-Infrequent
77,Frequent
78,Frequent
79,3-Infrequent
80,Frequent
81,Frequent
82,Frequent
83,Frequent
84,2-Infrequent
85,Frequent
86,Frequent
87,Frequent
88,3-Infrequent
89,Frequent
90,Frequent
91,Frequent
92,Frequent
93,Frequent
94,Frequent
95,3-Infrequent
96,Frequent
97,Frequent
98,Frequent
99,Frequent
100,2-Infrequent
101,Frequent
102,Frequent
103,Frequent
104,1-Infrequent
105,Frequent
106,Frequent
107,Frequent
108,Frequent
109,Frequent
110,4-Infrequent
111,Frequent
112,Frequent
113,Frequent
114,4-Infrequent
115,Frequent
116,Frequent
117,Frequent
118,Frequent
119,Frequent
120,Frequent
121,Frequent
122,1-Infrequent
123,Frequent
124,Frequent
125,Frequent
126,Frequent
127,Frequent
128,2-Infrequent
129,Frequent
130,Frequent
131,Frequent
132,Frequent
133,1-Infrequent
134,Frequent
135,Frequent
136,1-Infrequent
137,Frequent
138,Frequent
139,4-Infrequent
140,Frequent
141,Frequent
142,Frequent
143,2-Infrequent
144,Frequent
145,Frequent
146,2-Infrequent
147,Frequent
148,Frequent
149,Frequent
150,Frequent
151,Frequent
152,Frequent
153,2-Infrequent
154,Frequent
155,Frequent
156,Frequent
157,Frequent
158,1-Infrequent
159,Frequent
160,Frequent
161,Frequent
162,1-Infrequent
163,Frequent
164,Frequent
165,3-Infrequent
166,Frequent
167,Frequent
168,Frequent
169,Frequent
170,Frequent
171,Frequent
172,Frequent
173,3-Infrequent
174,Frequent
175,Frequent
176,Frequent
177,2-Infrequent
178,Frequent
179,Frequent
180,Frequent
181,Frequent
182,Frequent
183,1-Infrequent
184,Frequent
185,Frequent
186,3-Infrequent
187,Frequent
188,Frequent
189,Frequent
190,4-Infrequent
191,Frequent
192,Frequent
193,Frequent
194,Frequent
195,4-Infrequent
196,Frequent
197,Frequent
198,4-Infrequent
199,Frequent
200,Frequent
