Latency,Event
1,Frequent
2,Frequent
3,Frequent
4,Frequent
5,Frequent
6,Frequent
7,Frequent
8,Frequent
9,Frequent
10,3-Infrequent
11,Frequent
12,Frequent
13,Frequent
14,Frequent
15,2-Infrequent
16,Frequent
17,Frequent
18,3-Infrequent
19,Frequent
20,Frequent
21,Frequent
22,Frequent
23,Frequent
24,Frequent
25,Frequent
26,Frequent
27,Frequent
28,Frequent
29,Frequent
30,4-Infrequent
31,Frequent
32,Frequent
33,Frequent
34,Frequent
35,3-Infrequent
36,Frequent
37,Frequent
38,3-Infrequent
39,Frequent
40,Frequent
41,Frequent
42,1-Infrequent
43,Frequent
44,Frequent
45,3-Infrequent
46,Frequent
47,Frequent
48,Frequent
49,Frequent
50,4-Infrequent
51,Frequent
52,Frequent
53,4-Infrequent
54,Frequent
55,Frequent
56,Frequent
57,Frequent
58,Frequent
59,Frequent
60,Frequent
61,4-Infrequent
62,Frequent
63,Frequent
64,2-Infrequent
65,Frequent
66,Frequent
67,Frequent
68,4-Infrequent
69,Frequent
70,Frequent
71,Frequent
72,Frequent
73,Frequent
74,Frequent
75,Frequent
76,Frequent
77,1-Infrequent
78,Frequent
79,Frequent
80,2-Infrequent
81,Frequent
82,Frequent
83,Frequent
84,Frequent
85,1-Infrequent
86,Frequent
87,Frequent
88,Frequent
89,Frequent
90,1-Infrequent
91,Frequent
92,Frequent
93,Frequent
94,1-Infrequent
95,Frequent
96,Frequent
97,Frequent
98,Frequent
99,Frequent
100,2-Infrequent
101,Frequent
102,Frequent
103,Frequent
104,Frequent
105,4-Infrequent
106,Frequent
107,Frequent
108,4-Infrequent
109,Frequent
110,Frequent
111,1-Infrequent
112,Frequent
113,Frequent
114,Frequent
115,4-Infrequent
116,Frequent
117,3-Infrequent
118,Frequent
119,Frequent
120,Frequent
121,Frequent
122,2-Infrequent
123,Frequent
124,Frequent
125,Frequent
126,Frequent
127,Frequent
128,Frequent
129,Frequent
130,Frequent
131,2-Infrequent
132,Frequent
133,Frequent
134,Frequent
135,Frequent
136,Frequent
137,1-Infrequent
138,Frequent
139,Frequent
140,Frequent
141,Frequent
142,Frequent
143,Frequent
144,Frequent
145,Frequent
146,Frequent
147,1-Infrequent
148,Frequent
149,Frequent
150,Frequent
151,Frequent
152,3-Infrequent
153,Frequent
154,Frequent
155,Frequent
156,Frequent
157,4-Infrequent
158,Frequent
159,Frequent
160,2-Infrequent
161,Frequent
162,Frequent
163,Frequent
164,3-Infrequent
165,Frequent
166,Frequent
167,Frequent
168,Frequent
169,Frequent
170,4-Infrequent
171,Frequent
172,Frequent
173,Frequent
174,Frequent
175,Frequent
176,1-Infrequent
177,Frequent
178,2-Infrequent
179,Frequent
180,3-Infrequent
181,Frequent
182,Frequent
183,Frequent
184,2-Infrequent
185,Frequent
186,Frequent
187,Frequent
188,Frequent
189,3-Infrequent
190,Frequent
191,Frequent
192,1-Infrequent
193,Frequent
194,Frequent
195,2-Infrequent
196,Frequent
197,Frequent
198,Frequent
199,Frequent
200,Frequent
