Latency,Event
1,Frequent
2,Frequent
3,Frequent
4,Frequent
5,Frequent
6,2-Infrequent
7,Frequent
8,Frequent
9,Frequent
10,Frequent
11,Frequent
12,3-Infrequent
13,Frequent
14,Frequent
15,3-Infrequent
16,Frequent
17,Frequent
18,1-Infrequent
19,Frequent
20,Frequent
21,Frequent
22,Frequent
23,Frequent
24,Frequent
25,3-Infrequent
26,Frequent
27,Frequent
28,4-Infrequent
29,Frequent
30,Frequent
31,1-Infrequent
32,Frequent
33,Frequent
34,Frequent
35,Frequent
36,Frequent
37,4-Infrequent
38,Frequent
39,Frequent
40,Frequent
41,Frequent
42,Frequent
43,Frequent
44,4-Infrequent
45,Frequent
46,Frequent
47,Frequent
48,Frequent
49,Frequent
50,4-Infrequent
51,Frequent
52,Frequent
53,2-Infrequent
54,Frequent
55,Frequent
56,Frequent
57,Frequent
58,Frequent
59,3-Infrequent
60,Frequent
61,Frequent
62,Frequent
63,1-Infrequent
64,Frequent
65,Frequent
66,Frequent
67,3-Infrequent
68,Frequent
69,Frequent
70,1-Infrequent
71,Frequent
72,Frequent
73,Frequent
74,Frequent
75,Frequent
76,Frequent
77,Frequent
78,Frequent
79,Frequent
80,Frequent
81,2-Infrequent
82,Frequent
83,3-Infrequent
84,Frequent
85,Frequent
86,Frequent
87,Frequent
88,4-Infrequent
89,Frequent
90,Frequent
91,2-Infrequent
92,Frequent
93,Frequent
94,Frequent
95,Frequent
96,Frequent
97,Frequent
98,Frequent
99,1-Infrequent
100,Frequent
101,Frequent
102,Frequent
103,Frequent
104,Frequent
105,Frequent
106,Frequent
107,Frequent
108,Frequent
109,4-Infrequent
110,Frequent
111,3-Infrequent
112,Frequent
113,Frequent
114,Frequent
115,Frequent
116,Frequent
117,Frequent
118,3-Infrequent
119,Frequent
120,Frequent
121,Frequent
122,Frequent
123,4-Infrequent
124,Frequent
125,Frequent
126,Frequent
127,Frequent
128,Frequent
129,Frequent
130,Frequent
131,2-Infrequent
132,Frequent
133,Frequent
134,1-Infrequent
135,Frequent
136,Frequent
137,Frequent
138,Frequent
139,Frequent
140,1-Infrequent
141,Frequent
142,Frequent
143,3-Infrequent
144,Frequent
145,Frequent
146,Frequent
147,2-Infrequent
148,Frequent
149,Frequent
150,Frequent
151,4-Infrequent
152,Frequent
153,Frequent
154,Frequent
155,2-Infrequent
156,Frequent
157,Frequent
158,Frequent
159,Frequent
160,2-Infrequent
161,Frequent
162,Frequent
163,Frequent
164,Frequent
165,1-Infrequent
166,Frequent
167,Frequent
168,Frequent
169,4-Infrequent
170,Frequent
171,Frequent
172,4-Infrequent
173,Frequent
174,Frequent
175,Frequent
176,Frequent
177,2-Infrequent
178,Frequent
179,Frequent
180,Frequent
181,Frequent
182,1-Infrequent
183,Frequent
184,Frequent
185,Frequent
186,2-Infrequent
187,Frequent
188,Frequent
189,Frequent
190,Frequent
191,Frequent
192,Frequent
193,3-Infrequent
194,Frequent
195,Frequent
196,1-Infrequent
197,Frequent
198,Frequent
199,Frequent
200,Frequent
